id,Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg),Predicted class
22235,-27.7694,24.8083,0.0,42.85,19.31,7.31,26.9,16.24,6.89,very low contamination
22236,-27.9333,24.85,0.069,32.96,7.78,4.73,64.0,7.01,3.47,very low contamination
22237,-27.9861,24.7333,0.0,34.2,10.11,5.46,17.0,9.83,5.51,very low contamination
22238,-28.0583,24.6083,0.0,43.71,12.63,7.28,25.7,9.99,5.4,very low contamination
22239,-27.825,24.8083,0.0,28.64,6.4,4.67,17.9,7.29,3.64,very low contamination
22240,-22.8735,28.1926,0.0,66.99,28.18,8.72,29.9,21.55,8.98,low contamination
22241,-22.9173,28.1435,0.0,64.23,26.64,6.83,21.2,18.03,7.56,low contamination
22242,-22.9435,28.3417,0.0,67.82,16.68,5.01,23.2,14.78,7.02,low contamination
22243,-22.77,28.3396,0.0,117.94,72.12,12.98,64.0,52.24,21.45,moderate contamination
22244,-22.5466,28.6758,0.0,40.69,14.49,7.86,63.0,21.86,11.9,very low contamination
22245,-22.5873,28.5419,0.0,46.02,18.33,11.98,48.2,18.28,9.46,very low contamination
22246,-22.7358,28.4352,0.0,49.93,28.34,7.5,31.3,21.79,7.72,very low contamination
22247,-22.6851,29.1154,0.0,78.92,34.97,4.83,30.9,23.94,11.35,moderate contamination
22248,-22.7675,29.1985,0.0,125.16,64.81,7.33,33.8,31.95,14.82,moderate contamination
22249,-22.4651,29.2102,0.0,35.27,12.58,19.23,32.5,20.8,7.12,very low contamination
22250,-22.3184,29.3773,0.0,66.98,26.35,4.99,19.8,15.27,7.72,low contamination
22251,-22.2974,29.1977,0.0,14.21,8.64,3.1,17.18,3.18,1.67,very low contamination
22252,-22.2728,29.7875,0.0,113.39,57.58,9.14,32.7,39.96,14.2,moderate contamination
22253,-22.8097,29.0893,0.0,106.36,62.3,2.79,49.1,72.72,26.16,moderate contamination
22254,-28.8153,29.55,0.246,87.97,18.74,14.77,41.8,31.38,15.6,moderate contamination
22255,-28.6722,29.5236,0.216,97.36,30.23,11.69,46.3,40.46,31.14,moderate contamination
22256,-28.4139,29.6819,0.28,110.72,26.57,12.49,28.7,29.92,15.12,moderate contamination
22257,-25.291,27.5233,0.27,91.87,27.62,20.12,53.0,17.36,12.58,moderate contamination
22258,-25.2363,27.5299,0.052,118.09,12.29,54.7,39.6,16.35,13.23,moderate contamination
22259,-25.2264,27.5535,0.37,251.87,90.5,21.89,59.3,37.85,29.24,moderate contamination
22260,-25.2589,27.5359,0.295,116.36,38.27,11.4,34.1,17.12,15.28,moderate contamination
22261,-25.1048,27.5647,0.384,124.35,42.54,12.21,37.7,19.75,17.15,moderate contamination
22262,-26.4808,28.405,0.456,107.28,34.41,11.84,28.9,17.88,13.77,moderate contamination
22263,-25.0992,27.5455,0.37,124.28,42.9,12.9,37.8,19.89,16.83,moderate contamination
22264,-24.9544,27.5676,1.59,59.89,10.7,14.12,34.8,12.55,7.75,very low contamination
22265,-24.989,27.5567,0.92,149.51,53.41,11.44,49.98,20.32,18.28,moderate contamination
22266,-25.6472,29.9222,0.796,30.69,9.03,14.68,38.9,12.78,5.05,very low contamination
22267,-26.4551,28.4571,0.784,101.68,26.7,13.83,40.4,20.28,8.38,moderate contamination
22268,-25.6208,29.9514,0.567,81.25,39.6,15.27,113.7,66.59,32.28,low contamination
22269,-25.5653,29.9222,0.856,55.72,13.45,19.83,55.0,20.38,7.99,very low contamination
22270,-25.5653,29.8625,0.713,20.41,8.07,37.78,97.0,32.22,10.82,very low contamination
22271,-25.5653,29.9222,0.633,52.77,46.68,13.96,41.9,25.6,37.18,low contamination
22272,-25.5389,29.8903,0.514,37.96,11.98,34.99,68.6,34.16,16.48,very low contamination
22273,-25.6208,29.8306,0.702,37.02,10.07,30.5,111.7,24.94,10.93,very low contamination
22274,-25.6472,29.8625,0.637,82.48,25.83,41.72,78.4,41.27,33.28,moderate contamination
22275,-27.9653,27.1239,0.624,31.7,14.24,23.43,70.5,19.59,8.96,very low contamination
22276,-29.5833,31.175,0.636,158.44,84.41,13.51,35.1,72.02,52.33,moderate contamination
22277,-25.6664,27.7757,0.524,190.25,74.86,13.97,43.3,77.4,45.02,moderate contamination
22278,-25.8709,27.6361,0.463,93.67,27.52,46.7,38.7,27.69,12.34,moderate contamination
22279,-26.415,27.4252,0.626,52.05,8.99,6.36,86.7,10.51,4.7,very low contamination
22280,-31.0825,29.9586,0.26,55.32,16.8,26.28,36.17,14.86,10.04,very low contamination
22281,-31.0758,29.7447,0.036,325.35,301.47,9.62,62.53,54.47,79.87,moderate contamination
22282,-30.9183,29.8747,0.0,96.48,37.86,20.73,33.07,22.95,12.5,moderate contamination
22283,-30.93,29.5378,0.0,72.05,22.06,22.12,60.12,28.48,16.89,low contamination
22284,-30.7778,29.5556,0.0,229.39,33.62,20.01,37.01,29.53,9.98,moderate contamination
22285,-31.2908,29.1367,0.0,175.02,42.32,27.37,55.41,59.8,59.72,moderate contamination
22286,-31.5778,29.5139,0.0,47.14,19.84,29.15,49.77,37.83,10.89,very low contamination
22287,-30.3342,29.91,0.0,106.93,28.04,16.05,29.87,28.55,12.25,moderate contamination
22288,-30.4969,29.8767,0.0,115.27,31.61,25.41,29.47,21.49,31.03,moderate contamination
22289,-30.4956,28.2839,0.0,49.93,17.22,8.82,35.51,14.43,8.1,very low contamination
22290,-30.5597,28.7336,0.0,53.67,12.35,19.67,55.77,13.1,9.73,very low contamination
22291,-30.3508,28.4581,0.0,24.15,3.37,9.06,14.88,3.61,2.89,very low contamination
