id,Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg),Predicted class
14161,-25.1902,27.5768,0.018,0.0,13.244,2.46,2.01,4.43,9.1,very low contamination
14162,-25.167,27.5802,0.031,0.008,13.413,3.042,3.86,9.07,11.4,very low contamination
14163,-25.1671,27.5906,0.029,0.0,13.649,3.631,2.96,7.05,9.23,very low contamination
14164,-25.1576,27.5795,0.019,0.001,8.212,1.929,3.18,2.47,7.54,very low contamination
14165,-25.1523,27.5831,0.017,0.027,8.434,2.037,2.15,4.13,8.63,very low contamination
14166,-25.1048,27.5647,0.014,0.003,8.408,1.798,1.94,2.64,7.3,very low contamination
14167,-25.1058,27.5673,0.022,0.001,13.517,2.372,0.32,5.21,8.91,very low contamination
14168,-26.4808,28.405,0.018,0.001,9.575,1.757,1.52,2.63,6.69,very low contamination
14169,-25.0992,27.5455,0.019,0.001,8.674,1.92,2.23,3.03,7.66,very low contamination
14170,-25.063,27.5213,0.021,0.009,9.227,1.984,1.66,2.78,8.21,very low contamination
14171,-25.0625,27.5243,0.029,0.001,12.964,3.072,1.38,5.54,9.62,very low contamination
14172,-25.0379,27.5147,0.019,0.053,2.717,1.224,1.33,3.02,1.38,very low contamination
14173,-25.0038,27.5547,0.025,0.001,12.64,2.727,3.32,4.17,10.48,very low contamination
14174,-25.0054,27.5434,0.01,0.001,2.21,1.239,2.2,2.99,1.16,very low contamination
14175,-25.0167,27.5424,0.025,0.001,11.674,2.439,2.6,5.61,9.4,very low contamination
14176,-25.0233,27.5483,0.008,0.001,0.578,0.189,0.66,0.62,0.54,very low contamination
14177,-24.9551,27.5634,0.019,0.003,10.415,3.261,3.08,3.77,8.98,very low contamination
14178,-24.9544,27.5676,0.009,0.0,1.365,2.638,1.32,1.02,3.86,very low contamination
14179,-24.9073,27.5377,0.018,0.0,10.237,3.257,1.4,6.12,7.14,very low contamination
14180,-24.9065,27.5417,0.01,0.0,1.232,2.193,1.61,1.29,1.86,very low contamination
14181,-24.8959,27.5232,0.022,0.0,10.88,2.779,2.45,4.56,9.43,very low contamination
14182,-24.9017,27.5153,0.007,0.299,9.999,1.836,0.8,3.26,4.18,very low contamination
14183,-24.9383,27.5422,0.015,0.003,8.545,3.201,1.39,3.28,7.64,very low contamination
14184,-24.9371,27.5472,0.023,0.0,9.153,3.54,1.8,3.27,8.56,very low contamination
14185,-24.989,27.5567,0.018,0.047,5.119,3.544,1.817,1.961,0.092,very low contamination
14186,-24.9932,27.5551,0.018,0.001,13.42,2.765,2.99,3.04,9.05,very low contamination
14187,-24.9139,28.325,0.018,0.029,5.182,1.264,0.52,7.28,7.95,very low contamination
14188,-24.9139,28.325,0.028,0.035,3.883,1.965,0.74,9.36,12.86,very low contamination
14189,-26.8375,29.8236,0.005,0.124,0.202,0.689,0.37,0.921,0.233,very low contamination
14190,-26.8333,29.8208,0.001,0.053,0.018,0.182,0.05,0.183,0.03,very low contamination
14191,-28.1333,26.6833,0.013,0.0,1.271,1.556,1.4,0.38,3.14,very low contamination
14192,-26.3467,24.4992,0.007,0.0,0.95,1.121,1.09,0.323,3.16,very low contamination
14193,-26.3061,24.9636,0.016,0.0,0.396,0.723,0.88,0.243,0.647,very low contamination
14194,-29.8042,30.7153,0.002,0.123,0.166,4.225,2.038,0.553,0.173,very low contamination
14195,-29.6639,30.4111,0.002,0.051,0.101,1.493,0.694,0.23,0.053,very low contamination
14196,-25.6208,29.9514,0.004,0.283,0.112,9.627,0.864,0.175,0.22,very low contamination
14197,-25.6472,29.9514,0.036,0.068,0.196,1.228,1.1,0.44,0.018,very low contamination
14198,-25.6472,29.9222,0.014,0.129,0.362,9.557,1.69,0.92,0.54,very low contamination
14199,-25.6472,29.8625,0.004,0.077,0.127,8.591,0.79,0.26,0.127,very low contamination
14200,-25.6472,29.6958,0.003,0.3,0.137,7.458,0.44,0.51,0.205,very low contamination
14201,-25.6472,29.8181,0.007,0.183,0.333,14.883,1.51,0.61,0.092,very low contamination
14202,-26.5789,28.2975,0.017,0.16,1.789,2.891,14.01,2.1,3.52,very low contamination
14203,-26.5437,28.3117,0.046,0.15,1.375,3.048,32.64,3.38,1.47,very low contamination
14204,-26.5179,28.3362,0.017,0.105,0.637,2.983,8.13,2.18,3.64,very low contamination
14205,-26.5813,28.3032,0.018,0.084,0.869,1.91,3.21,1.44,1.89,very low contamination
14206,-26.5629,28.308,0.011,0.089,0.373,1.33,3.39,0.89,0.157,very low contamination
14207,-26.5165,28.3435,0.008,0.098,0.291,1.939,3.22,0.837,0.229,very low contamination
14208,-26.5995,28.3105,0.009,0.207,0.173,1.987,1.87,1.21,1.04,very low contamination
14209,-26.4408,28.4925,0.021,0.121,0.511,2.33,7.86,2.51,1.36,very low contamination
14210,-26.4808,28.405,0.02,0.288,1.559,2.106,5.33,2.97,1.11,very low contamination
14211,-26.4529,28.449,0.073,0.148,17.199,2.425,35.43,8.04,1.38,very low contamination
14212,-26.4468,28.4608,0.02,0.165,0.859,3.532,14.07,2.39,1.2,very low contamination
14213,-26.4327,28.5039,0.033,0.162,2.639,4.966,24.12,5.16,6.07,very low contamination
14214,-26.374,28.4898,0.062,0.121,3.298,7.654,47.61,5.18,3.1,very low contamination
14215,-26.2945,28.5207,0.015,0.112,2.623,3.01,2.91,4.2,6.57,very low contamination
14216,-26.2765,28.5065,0.05,0.119,5.632,5.959,20.7,5.8,8.89,very low contamination
14217,-26.2623,28.4895,0.174,0.427,86.011,2.489,66.813,64.691,25.796,very low contamination
14218,-26.3695,28.492,0.096,0.249,6.931,5.569,58.2,5.88,6.21,very low contamination
14219,-26.4551,28.4571,0.013,0.149,1.062,2.006,9.36,2.85,2.66,very low contamination
14220,-26.5378,28.3168,0.035,0.253,0.792,1.994,35.85,1.97,0.64,very low contamination
14221,-29.8042,30.7153,0.011,0.096,0.097,3.501,0.81,2.4,0.317,very low contamination
14222,-29.6639,30.4111,0.028,0.055,4.493,5.179,4.9,4.85,6.41,very low contamination
14223,-25.6208,29.9514,0.025,0.028,4.445,2.259,6.52,7.87,16.66,very low contamination
14224,-25.6472,29.9514,0.012,0.035,1.082,2.026,1.23,3.34,8.27,very low contamination
14225,-25.6472,29.9222,0.014,0.027,4.929,1.463,1.02,3.26,9.5,very low contamination
14226,-25.5389,29.9222,0.025,0.026,1.882,3.646,3.87,17.94,21.18,very low contamination
14227,-25.5389,29.9514,0.018,0.025,0.484,8.138,1.94,5.49,18.62,very low contamination
14228,-25.5653,29.9514,0.01,0.084,0.326,3.981,1.12,1.99,1.3,very low contamination
14229,-25.5653,29.9222,0.015,0.133,0.434,4.194,4.11,2.77,1.93,very low contamination
14230,-25.5653,29.8903,0.004,0.254,0.054,1.513,0.58,0.98,0.697,very low contamination
14231,-25.5653,29.8625,0.003,0.042,0.026,4.263,0.25,1.05,1.78,very low contamination
14232,-25.5389,29.8625,0.007,0.037,0.308,3.677,1.8,1.98,2.13,very low contamination
14233,-25.5389,29.8903,0.004,0.034,1.997,1.846,0.43,6.92,14.8,very low contamination
14234,-25.5389,29.9222,0.009,0.03,3.444,2.826,0.33,3.47,20.2,very low contamination
14235,-25.5389,29.9514,0.003,0.041,0.177,2.791,0.31,7.06,10.72,very low contamination
14236,-25.5653,29.9514,0.021,0.041,6.64,2.405,0.88,12.69,6.85,very low contamination
14237,-25.5653,29.9222,0.009,0.03,4.179,2.518,0.39,3.84,16.96,very low contamination
14238,-25.5653,29.8903,0.013,0.036,6.276,3.033,0.33,4.81,12.69,very low contamination
14239,-25.5389,29.8625,0.004,0.027,0.359,2.234,0.86,1.97,2.26,very low contamination
14240,-25.5389,29.8903,0.003,0.038,0.042,5.173,0.34,1.32,3.22,very low contamination
14241,-25.5389,29.9222,0.022,0.205,0.687,4.401,1.16,7.81,2.96,very low contamination
14242,-25.5389,29.9514,0.004,0.074,0.063,4.415,0.45,2.06,1.18,very low contamination
14243,-25.5653,29.9514,0.004,0.083,0.079,4.32,0.38,2.97,1.26,very low contamination
14244,-25.5653,29.9222,0.009,0.03,0.55,6.307,0.77,9.58,23.09,very low contamination
14245,-25.5653,29.8903,0.005,0.25,0.055,1.535,0.64,1.841,0.496,very low contamination
14246,-25.5653,29.8625,0.008,0.052,0.073,4.632,0.92,2.07,1.73,very low contamination
14247,-25.5389,29.8625,0.012,0.059,0.347,2.698,3.18,1.67,2.16,very low contamination
14248,-25.5389,29.8903,0.013,0.058,1.898,1.767,3.29,6.61,14.95,very low contamination
14249,-25.5389,29.9222,0.014,0.051,4.759,2.443,1.32,3.83,21.04,very low contamination
14250,-25.5389,29.9514,0.008,0.065,0.867,2.545,1.04,8.13,13.54,very low contamination
14251,-25.5653,29.9514,0.029,0.069,7.039,2.151,2.7,10.7,9.57,very low contamination
14252,-25.5653,29.9222,0.014,0.057,4.949,2.281,2.2,4.02,16.36,very low contamination
14253,-25.5931,29.9514,0.019,0.065,6.242,2.369,0.81,6.18,12.6,very low contamination
14254,-25.5653,29.8625,0.01,0.059,0.495,3.168,2.88,3.73,3.51,very low contamination
14255,-25.6208,29.8306,0.005,0.067,0.08,5.203,0.79,3.25,2.27,very low contamination
14256,-25.6208,29.8625,0.028,0.129,0.745,4.163,2.05,6.15,3.97,very low contamination
14257,-25.6208,29.8903,0.01,0.091,0.168,3.721,1.01,2.49,2.24,very low contamination
14258,-25.6208,29.9222,0.012,0.094,0.195,3.665,1.69,2.61,1.29,very low contamination
14259,-25.5931,29.9222,0.014,0.055,1.289,9.172,2.97,11.07,23.58,very low contamination
14260,-25.5931,29.9514,0.009,0.06,8.527,2.035,0.4,4.55,11.34,very low contamination
14261,-25.5931,29.9514,0.014,0.059,1.487,2.766,2.17,8.08,12.48,very low contamination
14262,-25.6208,29.8306,0.024,0.057,2.551,7.791,4.72,5.91,18.44,very low contamination
14263,-25.6208,29.8625,0.014,0.049,0.518,7.596,3.33,3.37,5.3,very low contamination
14264,-25.6208,29.8903,0.019,0.046,0.905,5.494,0.84,5.44,21.44,very low contamination
14265,-25.6208,29.9222,0.018,0.048,1.033,1.624,2.47,7.77,13.82,very low contamination
14266,-25.6208,29.9514,0.018,0.052,3.15,2.39,3.19,4.01,15.8,very low contamination
14267,-25.6472,29.9514,0.008,0.061,6.384,1.611,0.32,4.37,5.91,very low contamination
14268,-25.5931,29.9514,0.006,0.08,0.386,1.916,0.28,6.1,5.64,very low contamination
14269,-25.6472,29.8625,0.017,0.059,2.609,7.479,2.92,5.68,17.64,very low contamination
14270,-25.6208,29.8306,0.005,0.053,0.329,6.791,0.56,3.18,4.64,very low contamination
14271,-25.6208,29.8625,0.038,0.046,2.192,1.372,0.63,2.75,19.58,very low contamination
14272,-25.6208,29.8903,0.013,0.049,1.529,1.101,0.25,9.73,12.95,very low contamination
14273,-25.6208,29.9222,0.006,0.05,1.215,2.192,0.25,3.3,15.46,very low contamination
14274,-25.6208,29.9514,0.007,0.064,2.224,1.229,0.57,7.26,14.31,very low contamination
14275,-29.2333,31.3833,0.004,0.07,0.352,1.276,0.29,2.61,7.74,very low contamination
14276,-29.735,31.0583,0.011,0.071,8.288,1.543,0.37,3.36,11.6,very low contamination
14277,-29.7083,31.0633,0.012,0.044,1.234,3.346,0.53,18.57,23.38,very low contamination
14278,-25.6472,29.6958,0.006,0.046,0.169,7.209,1.02,4.24,12.99,very low contamination
14279,-25.6472,29.8181,0.004,0.121,0.225,4.019,0.22,2.4,1.53,very low contamination
14280,-25.6472,29.7986,0.014,0.121,0.441,3.555,3.57,2.78,2.05,very low contamination
14281,-31.6584,21.5941,0.013,0.287,0.363,2.382,2.33,3.04,1.24,very low contamination
14282,-31.611,21.737,0.008,0.168,0.317,1.808,1.26,13.04,0.76,very low contamination
14283,-28.1458,30.3056,0.019,0.226,0.135,1.061,1.72,0.699,0.06,very low contamination
14284,-27.125,30.475,0.011,0.162,0.284,0.88,2.07,0.701,0.299,very low contamination
14285,-24.9292,28.1778,0.055,0.124,1.571,5.356,3.94,0.742,14.63,very low contamination
14286,-26.0208,28.3111,0.018,0.076,0.756,0.961,0.53,2.62,1.87,very low contamination
14287,-31.2163,23.6249,0.02,0.062,0.608,1.483,0.76,1.37,2.53,very low contamination
14288,-31.742,23.8778,0.018,0.074,0.291,2.096,1.36,0.77,1.32,very low contamination
14289,-31.6702,23.837,0.014,0.078,0.265,2.08,0.79,0.56,1.02,very low contamination
14290,-27.9653,27.1239,0.023,0.067,0.552,3.877,1.0,1.26,2.88,very low contamination
14291,-28.1458,30.3056,0.015,0.087,2.188,2.033,3.64,5.19,13.46,very low contamination
14292,-27.125,30.475,0.018,0.09,3.295,1.698,4.4,7.37,22.38,very low contamination
14293,-26.6417,29.8131,0.008,0.091,2.223,1.724,2.25,2.82,6.76,very low contamination
14294,-26.0208,28.3111,0.013,0.082,0.849,3.744,2.26,3.18,5.06,very low contamination
14295,-26.6417,29.8131,0.014,0.078,0.921,2.45,0.66,1.23,2.05,very low contamination
14296,-29.4817,30.9167,0.007,0.055,3.653,1.712,0.23,6.92,11.59,very low contamination
14297,-29.5833,31.175,0.007,0.075,13.461,2.538,0.24,18.6,33.6,very low contamination
14298,-26.0644,28.2724,0.012,0.061,4.121,6.257,0.0,0.0,0.0,very low contamination
14299,-26.1023,28.3431,0.012,0.078,1.304,5.594,0.0,0.0,0.0,very low contamination
14300,-26.2917,28.3326,0.025,0.0,1.537,4.152,0.0,0.0,0.0,very low contamination
14301,-25.89,27.891,0.014,0.0,2.971,2.498,0.0,0.0,0.0,very low contamination
14302,-25.8255,27.9791,0.028,0.001,2.41,6.228,0.0,0.0,0.0,very low contamination
14303,-26.3767,28.3471,0.021,0.0,1.912,2.99,0.0,0.0,0.0,very low contamination
14304,-26.3707,28.7455,0.011,0.027,15.254,1.175,0.0,0.0,0.0,very low contamination
14305,-26.5694,28.8089,0.009,0.089,5.264,2.482,0.0,0.0,0.0,very low contamination
14306,-25.6653,27.9445,0.016,0.029,4.935,2.738,0.0,0.0,0.0,very low contamination
14307,-25.6664,27.7757,0.02,0.019,2.762,2.203,1.413,1.18,1.39,very low contamination
14308,-25.9945,27.8965,0.006,0.018,0.765,2.613,0.0,0.0,0.0,very low contamination
14309,-25.8709,27.6361,0.01,0.026,4.81,3.352,0.611,7.243,0.01,very low contamination
14310,-25.9308,27.4788,0.011,0.011,16.573,2.304,0.0,0.0,0.0,very low contamination
14311,-25.9819,27.9799,0.005,0.001,0.398,1.663,0.0,0.0,0.0,very low contamination
14312,-25.831,28.3948,0.012,0.036,0.578,1.897,0.0,0.0,0.0,very low contamination
14313,-25.9269,28.2232,0.026,0.011,3.17,4.4,0.0,0.0,0.0,very low contamination
14314,-26.1761,27.4625,0.034,0.018,3.633,9.435,0.0,0.0,0.0,very low contamination
14315,-26.2177,27.3725,0.031,0.0,2.266,3.346,0.0,0.0,0.0,very low contamination
14316,-26.0151,27.4702,0.008,0.0,1.434,8.717,0.0,0.0,0.0,very low contamination
14317,-26.0586,27.6326,0.013,0.003,1.687,5.733,0.0,0.0,0.0,very low contamination
14318,-25.7155,28.0105,0.021,0.0,5.926,2.826,0.0,0.0,0.0,very low contamination
14319,-26.2993,27.8292,0.014,0.005,0.689,3.686,0.0,0.0,0.0,very low contamination
14320,-26.4116,27.6455,0.01,0.068,0.805,3.469,0.0,0.0,0.0,very low contamination
14321,-26.4534,27.7535,0.022,0.009,1.116,4.945,0.0,0.0,0.0,very low contamination
14322,-26.5474,27.6895,0.019,0.016,10.02,3.478,0.0,0.0,0.0,very low contamination
14323,-26.415,27.4252,0.057,0.019,1.095,16.007,17.657,2.979,1.757,very low contamination
14324,-26.405,27.2907,0.008,0.004,0.34,3.146,0.0,0.0,0.0,very low contamination
14325,-28.2733,26.4369,0.018,0.087,3.128,1.285,0.4,4.76,4.92,very low contamination
14326,-31.0825,29.9586,0.314,0.666,2.623,2.425,1.039,0.486,1.328,very low contamination
14327,-31.0758,29.7447,0.0,0.442,40.931,1.599,4.989,10.647,14.784,very low contamination
14328,-30.9183,29.8747,1.989,2.807,22.08,2.318,1.929,1.833,0.63,very low contamination
14329,-30.93,29.5378,0.0,0.125,1.509,5.156,1.311,5.459,5.67,very low contamination
14330,-30.7778,29.5556,0.01,0.155,0.153,5.71,0.0,1.596,0.203,very low contamination
14331,-31.2908,29.1367,0.0,0.187,4.465,4.668,1.151,11.561,15.737,very low contamination
14332,-27.4883,27.3397,0.012,0.074,2.07,0.665,0.38,2.74,3.89,very low contamination
14333,-31.5778,29.5139,0.001,0.253,2.415,7.705,2.742,5.432,3.241,very low contamination
14334,-27.9653,27.1239,0.009,0.049,0.854,1.569,0.63,0.9,2.39,very low contamination
14335,-30.3342,29.91,0.005,0.358,0.359,2.87,0.175,0.701,0.096,very low contamination
14336,-27.4883,27.3397,0.015,0.062,1.863,0.998,2.06,2.7,2.86,very low contamination
14337,-30.4969,29.8767,0.0,0.104,8.166,7.071,0.826,4.305,11.593,very low contamination
14338,-29.1028,25.6242,0.031,0.086,1.52,3.879,1.17,2.8,2.92,very low contamination
14339,-26.6417,29.8131,0.017,0.134,0.257,0.97,1.87,1.591,0.73,very low contamination
14340,-30.4956,28.2839,0.0,0.27,0.246,2.695,0.651,1.687,0.473,very low contamination
14341,-30.5597,28.7336,0.0,0.318,0.32,3.672,1.217,1.568,1.398,very low contamination
14342,-26.1803,29.5703,0.013,0.069,0.337,1.417,2.39,1.08,1.06,very low contamination
14343,-26.6417,29.8131,0.012,0.08,0.329,1.717,2.07,1.54,0.87,very low contamination
14344,-30.3508,28.4581,0.0,0.096,0.632,1.772,0.059,0.601,1.503,very low contamination
14345,-23.2189,29.9879,0.007,0.049,0.379,1.071,0.75,0.41,1.17,very low contamination
14346,-30.9233,29.0047,0.036,0.148,0.8,6.3,8.484,8.009,1.804,very low contamination
14347,-30.7989,29.1025,0.005,0.036,0.855,2.589,0.215,1.716,0.229,very low contamination
14348,-23.1405,29.0496,0.01,0.055,0.592,0.996,2.72,1.39,1.72,very low contamination
14349,-23.1968,28.8606,0.012,0.066,0.559,1.815,0.45,1.0,1.2,very low contamination
14350,-23.1812,28.9463,0.009,0.082,2.871,1.522,3.53,8.59,19.3,very low contamination
14351,-30.5911,28.7919,0.0,0.181,0.743,3.834,1.119,6.541,9.335,very low contamination
14352,-23.2984,28.9758,0.007,0.044,0.534,1.007,0.46,0.92,1.52,very low contamination
14353,-32.3639,28.4917,0.006,0.021,0.196,5.889,0.673,0.364,0.42,very low contamination
14354,-26.1803,29.5703,0.015,0.055,0.506,1.511,2.54,1.96,1.43,very low contamination
14355,-32.3386,28.2911,0.0,0.223,4.238,1.655,0.696,9.96,10.232,very low contamination
14356,-32.4392,28.6853,0.023,0.252,4.94,11.255,1.503,10.579,7.441,very low contamination
14357,-32.1142,28.9894,0.0,0.333,1.283,3.749,1.656,8.832,6.749,very low contamination
14358,-26.1803,29.5703,0.019,0.056,0.668,1.851,3.4,2.98,5.88,very low contamination
14359,-32.0506,28.9775,0.0,0.188,2.69,5.793,0.719,2.573,2.725,very low contamination
14360,-32.17,28.8939,0.0,0.142,2.615,5.52,0.838,3.512,1.59,very low contamination
14361,-32.0158,28.5603,0.001,0.153,0.378,2.783,0.767,0.728,0.656,very low contamination
14362,-23.6181,28.8221,0.011,0.061,1.328,0.347,0.34,3.2,3.24,very low contamination
14363,-23.2189,29.9879,0.01,0.092,1.29,4.772,0.52,8.9,21.5,very low contamination
14364,-23.8256,29.2708,0.02,0.091,7.747,2.278,0.07,4.47,13.55,very low contamination
14365,-23.1968,28.8606,0.009,0.059,2.291,1.49,0.47,3.26,2.19,very low contamination
14366,-31.1992,28.4956,0.0,0.197,0.515,3.894,0.478,2.773,1.602,very low contamination
14367,-31.0289,28.7192,0.0,0.215,0.241,4.774,0.257,3.185,0.364,very low contamination
14368,-23.5033,29.7183,0.009,0.06,4.297,3.085,0.17,4.88,14.76,very low contamination
14369,-23.2984,28.9758,0.003,0.058,1.464,1.403,0.12,1.27,4.86,very low contamination
14370,-30.7631,28.3644,0.0,0.227,0.269,2.731,0.046,4.316,3.121,very low contamination
14371,-23.8621,29.7104,0.006,0.058,2.968,0.84,0.09,2.15,3.01,very low contamination
14372,-22.9201,30.2433,0.004,0.049,0.88,0.747,0.12,0.87,1.8,very low contamination
14373,-31.242,28.9967,0.0,0.14,2.95,8.932,0.7,4.038,6.23,very low contamination
14374,-32.5078,28.4558,0.0,0.162,1.889,7.983,0.607,14.878,7.606,very low contamination
14375,-22.6221,30.6754,0.007,0.043,1.493,0.771,0.51,2.74,4.49,very low contamination
14376,-32.5853,28.4472,0.0,0.176,0.531,2.64,0.046,2.816,1.477,very low contamination
14377,-22.8453,30.5729,1.167,0.888,11.05,0.373,0.814,0.179,0.209,very low contamination
14378,-22.7853,30.9107,0.003,0.057,0.953,0.519,0.13,1.3,0.98,very low contamination
14379,-32.4828,28.1444,0.0,0.128,1.033,5.704,1.767,6.863,3.274,very low contamination
14380,-22.4492,30.5068,0.007,0.057,0.601,0.342,0.19,1.4,0.53,very low contamination
14381,-22.397,30.7096,0.005,0.053,1.006,0.975,0.16,2.89,3.37,very low contamination
14382,-22.8788,30.1125,0.013,0.069,1.208,2.452,0.47,1.58,1.93,very low contamination
14383,-23.8621,29.7104,0.004,0.058,1.287,1.167,0.33,1.42,2.37,very low contamination
14384,-22.9201,30.2433,0.016,0.054,2.984,2.421,0.82,13.38,25.22,very low contamination
14385,-22.6221,30.6754,0.002,0.162,0.203,0.293,0.16,0.699,0.093,very low contamination
14386,-23.2001,30.6527,0.007,0.047,2.593,0.645,0.68,10.24,24.17,very low contamination
14387,-22.7853,30.9107,0.005,0.044,2.374,0.579,0.11,8.14,11.93,very low contamination
14388,-23.1903,30.8277,0.006,0.009,2.23,0.224,0.371,0.656,1.007,very low contamination
14389,-32.1547,28.4558,0.0,0.146,0.706,4.507,0.511,2.377,1.287,very low contamination
14390,-22.397,30.7096,0.017,0.05,14.188,0.604,0.36,6.27,15.8,very low contamination
14391,-23.4068,30.4187,0.012,0.056,6.353,0.703,0.34,7.39,11.91,very low contamination
14392,-23.315,30.6209,0.01,0.075,0.294,0.954,0.29,1.192,0.49,very low contamination
14393,-23.5781,30.3501,0.02,0.208,11.324,1.401,1.21,3.55,19.71,very low contamination
14394,-23.2205,30.4593,0.005,0.061,2.916,1.901,0.18,1.27,2.65,very low contamination
14395,-23.5433,30.7894,0.009,0.064,1.814,0.788,0.28,6.45,2.93,very low contamination
14396,-23.2382,30.9081,0.011,0.077,7.195,0.248,0.8,4.15,5.41,very low contamination
14397,-32.2375,28.05,0.008,0.066,0.654,2.946,0.418,0.75,1.281,very low contamination
14398,-32.0442,28.0464,0.0,0.162,0.894,3.465,0.39,2.181,3.466,very low contamination
14399,-23.1903,30.8277,0.016,0.072,0.021,1.706,0.357,5.081,0.01,very low contamination
14400,-23.3479,30.1506,0.009,0.086,2.024,1.475,1.06,2.12,0.77,very low contamination
14401,-31.4631,28.5314,0.0,0.252,0.762,5.167,0.662,2.607,0.925,very low contamination
14402,-23.4068,30.4187,0.003,0.105,1.091,1.006,0.26,1.25,0.82,very low contamination
14403,-23.315,30.6209,0.01,0.09,9.407,0.68,0.98,3.36,6.5,very low contamination
14404,-31.277,28.5469,0.0,0.278,3.434,3.881,0.708,4.528,6.025,very low contamination
14405,-23.5781,30.3501,0.002,0.046,1.272,1.177,0.31,2.48,5.12,very low contamination
14406,-23.5269,30.4466,0.013,0.048,6.324,1.509,0.99,5.77,11.95,very low contamination
14407,-23.5433,30.7894,0.004,0.047,0.739,1.196,0.18,1.66,2.0,very low contamination
14408,-31.4942,28.0736,0.0,0.188,1.045,3.644,0.787,3.301,6.3,very low contamination
14409,-26.0903,28.6667,0.009,0.076,0.319,0.278,0.19,1.36,0.241,very low contamination
14410,-25.6792,27.4278,0.006,0.065,2.616,1.315,0.53,1.24,3.92,very low contamination
14411,-28.3458,24.9278,0.019,0.062,1.711,1.984,1.04,2.14,3.11,very low contamination
14412,-31.51,28.4117,0.0,0.444,0.237,11.681,0.177,9.799,0.244,very low contamination
14413,-29.7858,29.4992,0.069,0.212,0.001,3.43,1.483,0.753,0.382,very low contamination
14414,-29.8495,29.7664,0.055,0.217,0.001,7.199,1.556,1.685,0.806,very low contamination
14415,-29.6153,29.7772,0.037,0.232,0.226,6.332,0.787,5.678,15.083,very low contamination
14416,-29.0425,29.7908,0.04,0.282,1.179,4.883,2.333,2.337,0.995,very low contamination
14417,-28.1806,28.2883,0.041,0.298,1.605,3.334,2.616,3.211,1.326,very low contamination
14418,-28.3914,28.2203,0.041,0.204,2.763,1.397,0.84,2.582,2.872,very low contamination
14419,-28.4692,28.8503,0.035,0.177,0.953,2.269,1.165,1.597,1.419,very low contamination
14420,-28.3508,28.7242,0.037,0.183,0.846,2.351,0.945,1.193,0.969,very low contamination
14421,-28.1161,28.5692,0.068,0.215,3.057,3.274,6.376,4.78,3.549,very low contamination
14422,-28.7556,29.3658,0.032,0.211,1.424,1.973,1.638,2.18,1.647,very low contamination
14423,-28.0928,29.1911,0.037,0.165,1.667,3.559,4.741,2.32,3.006,very low contamination
14424,-28.1314,29.0297,0.047,0.187,0.968,1.357,3.947,1.099,0.719,very low contamination
14425,-28.2825,29.3164,0.033,0.262,1.084,4.476,0.82,1.537,0.349,very low contamination
14426,-26.6114,26.7958,0.022,0.068,2.54,0.567,0.68,2.29,6.49,very low contamination
14427,-27.8858,28.4306,0.04,0.217,1.204,2.047,1.678,1.338,1.801,very low contamination
14428,-27.5967,28.7881,0.053,0.245,5.911,3.434,2.958,7.136,7.356,very low contamination
14429,-27.3392,28.8472,0.05,0.261,4.547,3.905,4.918,3.91,6.445,very low contamination
14430,-27.2814,28.6314,0.038,0.201,3.729,2.244,2.507,4.562,3.372,very low contamination
14431,-27.315,28.3914,0.052,0.43,10.162,1.69,1.363,10.523,6.482,very low contamination
14432,-27.1217,28.1981,0.05,0.203,6.108,3.478,3.725,6.638,7.094,very low contamination
14433,-27.0603,28.0833,0.042,0.205,5.275,3.298,1.991,3.588,3.793,very low contamination
14434,-27.9142,29.2786,0.033,0.181,1.183,4.263,0.585,1.187,2.09,very low contamination
14435,-27.9422,29.7964,0.031,0.22,0.787,6.355,1.609,1.646,1.102,very low contamination
14436,-27.8267,29.8911,0.043,0.187,1.836,6.397,3.431,5.259,14.31,very low contamination
14437,-27.6378,29.7458,0.032,0.211,1.289,4.692,1.063,1.929,1.908,very low contamination
14438,-27.3856,29.7022,0.056,0.206,1.422,4.596,4.673,5.621,1.003,very low contamination
14439,-27.3231,29.1825,0.05,0.313,6.072,3.756,8.762,6.247,6.734,very low contamination
14440,-27.1383,29.26,0.075,0.664,21.743,1.212,2.016,9.996,12.187,very low contamination
14441,-30.4217,26.8006,0.051,0.272,2.298,2.836,1.903,4.859,8.668,very low contamination
14442,-30.6108,26.7589,0.041,0.237,0.966,2.772,0.892,1.531,2.955,very low contamination
14443,-30.6561,27.1281,0.042,0.389,1.553,4.179,1.148,1.353,2.951,very low contamination
14444,-30.7083,27.7489,0.031,0.277,0.467,2.023,1.423,1.866,2.155,very low contamination
14445,-30.4258,27.5614,0.049,0.274,1.594,6.204,1.197,1.817,2.483,very low contamination
14446,-30.9583,26.3347,0.047,0.266,2.569,1.755,2.013,3.213,4.613,very low contamination
14447,-26.6639,26.2375,0.022,0.069,1.063,1.142,0.89,2.02,3.13,very low contamination
14448,-30.6458,26.0425,0.053,0.237,0.818,2.603,0.59,1.389,2.076,very low contamination
14449,-30.1597,26.5817,0.043,0.203,1.291,2.234,0.678,1.683,2.669,very low contamination
14450,-29.6786,26.1447,0.052,0.219,2.158,4.364,0.845,2.714,3.144,very low contamination
